epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1212,1.10518,4.05231,1.4553,0.03568,0.92024,0.07151,0.04912,0.86732,4.02789,1.34787,0.000137537,0.000137537,0.000137537
2,49.6021,1.06478,3.39116,1.41166,0.12054,0.37547,0.15401,0.10517,0.97288,3.56408,1.45621,0.000273799,0.000273799,0.000273799
3,73.1146,1.06576,3.02522,1.3995,0.21047,0.39357,0.24088,0.15836,1.11093,3.14968,1.54438,0.000407309,0.000407309,0.000407309
4,96.883,1.05738,2.68678,1.37366,0.32136,0.47278,0.38799,0.26204,1.00144,2.99023,1.44375,0.000404615,0.000404615,0.000404615
5,123.227,1.05255,2.44976,1.35208,0.45038,0.5978,0.50648,0.34548,1.03512,2.4173,1.45804,0.000400487,0.000400487,0.000400487
6,149.535,1.02868,2.2073,1.33526,0.52713,0.63585,0.59217,0.41135,0.98404,2.15475,1.41603,0.000396358,0.000396358,0.000396358
7,175.229,1.01977,1.99471,1.30957,0.57069,0.6198,0.61661,0.43399,0.98215,2.14359,1.4086,0.00039223,0.00039223,0.00039223
8,200.85,0.99093,1.8804,1.30744,0.68538,0.62675,0.68513,0.4873,0.94406,1.78942,1.37267,0.000388102,0.000388102,0.000388102
9,226.676,0.98448,1.80638,1.29142,0.69501,0.70673,0.76481,0.54446,0.94701,1.60018,1.3579,0.000383974,0.000383974,0.000383974
10,252.409,0.95581,1.69937,1.2678,0.64662,0.58715,0.6895,0.48968,0.91174,1.75501,1.3501,0.000379845,0.000379845,0.000379845
11,278.109,0.95447,1.60282,1.26359,0.71048,0.72138,0.77432,0.55416,0.96176,1.52684,1.36369,0.000375717,0.000375717,0.000375717
12,303.634,0.96826,1.54185,1.27423,0.72221,0.72472,0.78187,0.5661,0.9403,1.47981,1.33929,0.000371589,0.000371589,0.000371589
13,329.523,0.93533,1.45374,1.25582,0.72063,0.731,0.77484,0.57164,0.89241,1.42973,1.30888,0.00036746,0.00036746,0.00036746
14,356.994,0.95047,1.45688,1.25655,0.70506,0.70422,0.78214,0.57593,0.90203,1.40814,1.32858,0.000363332,0.000363332,0.000363332
15,385.488,0.94073,1.39331,1.25533,0.70459,0.80656,0.83604,0.61604,0.92116,1.23304,1.32495,0.000359204,0.000359204,0.000359204
16,413.973,0.91901,1.36603,1.24138,0.75478,0.75327,0.80644,0.60073,0.89251,1.30429,1.29059,0.000355076,0.000355076,0.000355076
17,442.816,0.90278,1.30865,1.22443,0.77075,0.78504,0.8261,0.60264,0.91402,1.16799,1.32765,0.000350947,0.000350947,0.000350947
18,471.269,0.90842,1.26479,1.22761,0.78932,0.79637,0.84683,0.62231,0.90024,1.10035,1.3207,0.000346819,0.000346819,0.000346819
19,499.952,0.90952,1.2296,1.22729,0.79763,0.79411,0.84943,0.63666,0.8848,1.09582,1.28691,0.000342691,0.000342691,0.000342691
20,528.394,0.88608,1.21324,1.21312,0.75496,0.74413,0.82767,0.61614,0.87836,1.15017,1.29849,0.000338562,0.000338562,0.000338562
21,556.05,0.8898,1.16852,1.2223,0.79026,0.79382,0.84238,0.62407,0.88641,1.1002,1.30192,0.000334434,0.000334434,0.000334434
22,583.286,0.89987,1.19666,1.22636,0.78238,0.82012,0.85874,0.6431,0.88597,1.01118,1.29571,0.000330306,0.000330306,0.000330306
23,611.132,0.86426,1.12498,1.21478,0.79517,0.79738,0.85079,0.62884,0.89838,1.02143,1.2973,0.000326177,0.000326177,0.000326177
24,639.053,0.85315,1.05495,1.19342,0.83933,0.80452,0.87157,0.64926,0.90695,0.96618,1.29428,0.000322049,0.000322049,0.000322049
25,667.385,0.86603,1.05394,1.19824,0.82543,0.79868,0.8692,0.65095,0.88585,0.97416,1.27603,0.000317921,0.000317921,0.000317921
26,695.629,0.85454,1.051,1.18253,0.76274,0.78635,0.84189,0.62989,0.89289,1.01945,1.28369,0.000313792,0.000313792,0.000313792
27,722.333,0.88741,1.06553,1.21096,0.79392,0.83741,0.87833,0.64098,0.93177,0.92865,1.31393,0.000309664,0.000309664,0.000309664
28,747.183,0.83268,1.00511,1.17647,0.83277,0.82957,0.8834,0.66105,0.89644,0.8893,1.28643,0.000305536,0.000305536,0.000305536
29,772.049,0.85986,1.02865,1.20345,0.8301,0.81821,0.87965,0.66989,0.848,0.86768,1.2612,0.000301408,0.000301408,0.000301408
30,797.345,0.8069,0.9586,1.17597,0.81669,0.79657,0.87072,0.66432,0.85403,0.8829,1.26825,0.000297279,0.000297279,0.000297279
31,822.042,0.82495,0.95556,1.17555,0.83951,0.79486,0.8773,0.6592,0.85911,0.85827,1.28527,0.000293151,0.000293151,0.000293151
32,846.774,0.82427,0.94074,1.16822,0.81981,0.82739,0.88475,0.66968,0.85846,0.82431,1.26644,0.000289023,0.000289023,0.000289023
33,871.62,0.82302,0.93178,1.16801,0.83729,0.80295,0.89236,0.67274,0.8583,0.84419,1.28687,0.000284894,0.000284894,0.000284894
34,896.442,0.82533,0.91445,1.18162,0.84323,0.8073,0.88411,0.67054,0.8552,0.82157,1.27114,0.000280766,0.000280766,0.000280766
35,921.783,0.79444,0.89162,1.16054,0.88095,0.82415,0.89605,0.68345,0.8404,0.76265,1.26701,0.000276638,0.000276638,0.000276638
36,947.499,0.80628,0.86277,1.15798,0.83266,0.82385,0.87977,0.66801,0.85056,0.82082,1.27365,0.000272509,0.000272509,0.000272509
37,973.994,0.80621,0.89114,1.16426,0.82437,0.80665,0.88592,0.66893,0.85204,0.86059,1.2737,0.000268381,0.000268381,0.000268381
38,999.483,0.78666,0.83187,1.14893,0.86057,0.83789,0.90605,0.69036,0.8427,0.77479,1.25501,0.000264253,0.000264253,0.000264253
39,1025.8,0.78612,0.85507,1.15319,0.8686,0.82511,0.89546,0.677,0.88122,0.76479,1.28929,0.000260125,0.000260125,0.000260125
