epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9477,1.0915,4.02687,1.4407,0.04559,0.75917,0.07411,0.05007,0.89521,3.88661,1.36844,0.000137582,0.000137582,0.000137582
2,52.4033,1.0578,3.4023,1.40625,0.16712,0.26142,0.14748,0.09351,1,3.45863,1.45812,0.000273843,0.000273843,0.000273843
3,76.3886,1.06256,2.9867,1.39776,0.18241,0.46124,0.22909,0.14769,1.03502,3.75923,1.4814,0.000407353,0.000407353,0.000407353
4,100.223,1.05392,2.65355,1.37814,0.31351,0.52414,0.37226,0.25557,0.96927,2.72483,1.39053,0.000404615,0.000404615,0.000404615
5,126.111,1.05487,2.41719,1.34167,0.43131,0.51129,0.47119,0.31716,1.06443,2.4607,1.43354,0.000400487,0.000400487,0.000400487
6,154.695,1.04213,2.20552,1.33565,0.48134,0.55259,0.54894,0.38688,0.94339,2.22294,1.35014,0.000396358,0.000396358,0.000396358
7,182.56,1.0104,2.017,1.3178,0.54587,0.62004,0.62098,0.44012,0.95109,2.00552,1.36177,0.00039223,0.00039223,0.00039223
8,210.661,0.98189,1.89588,1.29772,0.59149,0.62955,0.6549,0.45926,0.99473,1.94434,1.41284,0.000388102,0.000388102,0.000388102
9,240.282,0.95981,1.7712,1.2686,0.64479,0.66225,0.68604,0.49135,0.93044,1.78145,1.35237,0.000383974,0.000383974,0.000383974
10,265.795,0.9849,1.70203,1.27739,0.69852,0.73854,0.756,0.55548,0.91085,1.53875,1.34145,0.000379845,0.000379845,0.000379845
11,292.586,0.94742,1.57084,1.26059,0.68008,0.68133,0.74627,0.54642,0.90192,1.57488,1.31676,0.000375717,0.000375717,0.000375717
12,317.405,0.94549,1.516,1.24921,0.70649,0.71873,0.759,0.56078,0.92465,1.47511,1.3316,0.000371589,0.000371589,0.000371589
13,342.213,0.94485,1.46507,1.25821,0.72711,0.74822,0.80386,0.60057,0.87295,1.32944,1.29582,0.00036746,0.00036746,0.00036746
