epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1011,2.06783,5.25195,1.58874,1,0.0276,0.18992,0.08316,2.05669,5.74471,1.42451,0.00036526,0.00036526,0.00036526
2,26.2274,2.07652,4.1469,1.52401,0.52627,0.21746,0.20407,0.08747,2.21445,5.09114,1.70939,0.000728311,0.000728311,0.000728311
3,38.2545,2.09541,3.67064,1.56799,0.52919,0.19945,0.22096,0.10108,2.15332,4.39488,1.72604,0.00108403,0.00108403,0.00108403
4,50.2815,2.09407,3.06248,1.60017,0.7025,0.25158,0.28582,0.12298,2.12554,3.61702,1.67427,0.001078,0.001078,0.001078
5,62.3482,2.07089,2.87641,1.55414,0.64875,0.27436,0.3149,0.14483,2.06461,3.18016,1.56627,0.001067,0.001067,0.001067
6,74.4292,1.96513,2.4,1.53097,0.62066,0.3596,0.37057,0.16974,2.09981,2.91308,1.5832,0.00105601,0.00105601,0.00105601
7,86.4487,2.012,2.30454,1.51921,0.67897,0.31534,0.36999,0.15565,2.12492,2.56581,1.51763,0.00104501,0.00104501,0.00104501
8,98.4805,1.93621,2.09281,1.47495,0.68639,0.38756,0.46998,0.21383,1.97387,2.14871,1.52527,0.00103401,0.00103401,0.00103401
9,110.581,1.86953,2.00214,1.47418,0.67632,0.34579,0.43886,0.213,1.99415,2.29803,1.60291,0.00102301,0.00102301,0.00102301
10,122.669,1.89744,1.92461,1.47927,0.54488,0.47104,0.50755,0.27516,2.0106,2.03424,1.5404,0.00101201,0.00101201,0.00101201
11,134.762,1.84694,1.85343,1.43766,0.45905,0.3249,0.36441,0.15811,2.04611,2.2526,1.55638,0.00100101,0.00100101,0.00100101
12,146.79,1.88196,1.78009,1.47412,0.47975,0.52608,0.54424,0.25379,1.99058,1.72296,1.53877,0.000990012,0.000990012,0.000990012
13,158.88,1.80519,1.64439,1.4162,0.57466,0.55857,0.57621,0.28151,1.89874,1.92145,1.49349,0.000979013,0.000979013,0.000979013
14,170.949,1.7663,1.57349,1.39125,0.5201,0.5367,0.51708,0.24874,1.92893,1.85322,1.50762,0.000968014,0.000968014,0.000968014
15,182.983,1.80409,1.56025,1.40802,0.72274,0.43947,0.52649,0.25822,1.87533,1.88919,1.4633,0.000957015,0.000957015,0.000957015
16,195.086,1.76071,1.56769,1.39465,0.69394,0.56573,0.6321,0.33375,1.90123,1.63942,1.44563,0.000946016,0.000946016,0.000946016
17,207.251,1.75254,1.52529,1.3702,0.71476,0.56488,0.63664,0.33803,1.88789,1.77067,1.49487,0.000935018,0.000935018,0.000935018
18,219.489,1.72907,1.45461,1.39012,0.73733,0.51504,0.59072,0.28091,1.9076,1.54341,1.51207,0.000924019,0.000924019,0.000924019
19,232.152,1.71847,1.41157,1.38136,0.60136,0.66792,0.61864,0.31033,1.88767,1.57372,1.4559,0.00091302,0.00091302,0.00091302
20,246.079,1.70118,1.41911,1.35411,0.59276,0.6885,0.63689,0.31182,1.88526,1.67909,1.48869,0.000902021,0.000902021,0.000902021
21,259.841,1.65476,1.38917,1.33376,0.67203,0.57504,0.61505,0.29469,1.89346,1.4554,1.48941,0.000891022,0.000891022,0.000891022
22,275.446,1.65614,1.29657,1.32843,0.64224,0.64643,0.64109,0.32713,1.89989,1.4652,1.47565,0.000880023,0.000880023,0.000880023
23,289.623,1.73845,1.35224,1.35903,0.64878,0.64264,0.63364,0.33907,1.84658,1.47943,1.45307,0.000869024,0.000869024,0.000869024
24,303.437,1.64234,1.24233,1.31745,0.72296,0.68713,0.70526,0.35963,1.86141,1.37125,1.44355,0.000858025,0.000858025,0.000858025
25,317.433,1.63128,1.26425,1.32405,0.75474,0.59213,0.67617,0.33514,1.87392,1.47627,1.47664,0.000847026,0.000847026,0.000847026
26,331.66,1.6167,1.25202,1.31474,0.74707,0.66727,0.75266,0.38516,1.83932,1.37477,1.42069,0.000836027,0.000836027,0.000836027
27,345.388,1.61487,1.23485,1.3022,0.70331,0.67262,0.73567,0.36883,1.84221,1.31864,1.45693,0.000825029,0.000825029,0.000825029
28,359.255,1.57647,1.19064,1.28527,0.79509,0.67678,0.76481,0.38795,1.83026,1.25054,1.44727,0.00081403,0.00081403,0.00081403
29,373.291,1.55513,1.17735,1.26085,0.74361,0.68743,0.68549,0.35013,1.82151,1.43635,1.48173,0.000803031,0.000803031,0.000803031
30,387.302,1.55232,1.17488,1.28699,0.76199,0.70348,0.74485,0.39131,1.81222,1.32428,1.45138,0.000792032,0.000792032,0.000792032
31,401.386,1.52852,1.13059,1.25502,0.81391,0.73137,0.77449,0.38148,1.88733,1.29613,1.44805,0.000781033,0.000781033,0.000781033
32,415.664,1.52816,1.09759,1.24821,0.81132,0.65355,0.73289,0.37197,1.83606,1.2786,1.43217,0.000770034,0.000770034,0.000770034
33,429.589,1.52172,1.10028,1.24916,0.81558,0.73197,0.80032,0.41691,1.83535,1.19622,1.43421,0.000759035,0.000759035,0.000759035
34,443.3,1.51211,1.07758,1.25661,0.80402,0.64613,0.70748,0.34283,1.82083,1.33987,1.4478,0.000748036,0.000748036,0.000748036
35,457.003,1.48895,1.06838,1.24915,0.83475,0.72052,0.80204,0.40446,1.79188,1.1902,1.42521,0.000737037,0.000737037,0.000737037
36,470.626,1.48451,1.06595,1.23882,0.77435,0.77405,0.76347,0.41301,1.79853,1.12745,1.42906,0.000726038,0.000726038,0.000726038
37,484.268,1.54965,1.07542,1.22737,0.72646,0.70354,0.75093,0.40184,1.84812,1.29129,1.44144,0.00071504,0.00071504,0.00071504
